pid,category,eco
95076,Condiments,0
95077,Condiments,0
95078,Condiments,0
95081,Condiments,0
95083,Condiments,0
95086,Condiments,0
95089,Condiments,0
95093,Condiments,0
95094,Condiments,0
95095,Condiments,0
95153,Condiments,0
95188,Condiments,0
95267,Condiments,0
95581,Condiments,0
95767,Condiments,0
96341,Candy,0
99541,Misc,0
99951,Misc,0
101495,Bakery and bread,0
101499,Home,0
101540,Home,0
101551,Bakery and bread,0
101555,Condiments,0
101717,Seafood,0
101860,Emergency food,0
102060,Bakery and bread,0
102110,Misc,0
102134,Bakery and bread,0
102135,Bakery and bread,0
102150,Bakery and bread,0
102165,Bakery and bread,0
102167,Bakery and bread,0
102173,Bakery and bread,0
102178,Bakery and bread,0
102180,Bakery and bread,0
102181,Bakery and bread,0
102182,Bakery and bread,0
102238,Bakery and bread,0
102370,Bakery and bread,0
102392,Misc,0
102404,Bakery and bread,0
102435,Bakery and bread,0
102483,Bakery and bread,0
102535,Bakery and bread,0
102610,Bakery and bread,0
102611,Bakery and bread,0
102613,Bakery and bread,0
102820,Bakery and bread,0
102834,Bakery and bread,0
103039,Bakery and bread,0
103158,Bakery and bread,0
103162,Bakery and bread,0
103224,Bakery and bread,0
103227,Bakery and bread,0
103228,Bakery and bread,0
103403,Bakery and bread,0
103491,Bakery and bread,0
103549,Misc,0
103570,Bakery and bread,0
103675,Bakery and bread,0
103759,Bakery and bread,0
103795,Bakery and bread,0
103797,Bakery and bread,0
103798,Bakery and bread,0
103808,Bakery and bread,0
103816,Bakery and bread,0
103829,Bakery and bread,0
103846,Bakery and bread,0
103847,Bakery and bread,0
103848,Bakery and bread,0
103893,Bakery and bread,0
103953,Bakery and bread,0
104008,Bakery and bread,0
104017,Bakery and bread,0
104023,Bakery and bread,0
104124,Bakery and bread,0
104137,Bakery and bread,0
104140,Bakery and bread,0
104417,Bakery and bread,0
104422,Bakery and bread,0
104639,Bakery and bread,0
104668,Bakery and bread,0
104686,Bakery and bread,0
104919,Bakery and bread,0
105083,Bakery and bread,0
105384,Bakery and bread,0
105628,Bakery and bread,0
105639,Bakery and bread,0
105643,Bakery and bread,0
105645,Bakery and bread,0
105646,Bakery and bread,0
105649,Bakery and bread,0
105651,Bakery and bread,0
105753,Bakery and bread,0
105809,Bakery and bread,0
105907,Bakery and bread,0
105936,Bakery and bread,0
105957,Bakery and bread,0
106119,Bakery and bread,0
106127,Bakery and bread,0
106493,Bakery and bread,0
106959,Bakery and bread,0
107001,Bakery and bread,0
107114,Bakery and bread,0
108308,Bakery and bread,0
108334,Misc,0
108337,Misc,0
108369,Bakery and bread,0
108667,Bakery and bread,0
108710,Bakery and bread,0
108737,Bakery and bread,0
108765,Bakery and bread,0
108810,Bakery and bread,0
108875,Bakery and bread,0
108915,Bakery and bread,0
109036,Bakery and bread,0
109132,Bakery and bread,0
109162,Bakery and bread,0
109178,Bakery and bread,0
109232,Bakery and bread,0
109241,Bakery and bread,0
109242,Bakery and bread,0
109251,Bakery and bread,0
109262,Bakery and bread,0
109275,Bakery and bread,0
109382,Bakery and bread,0
109419,Bakery and bread,0
109501,Bakery and bread,0
109677,Bakery and bread,0
109704,Bakery and bread,0
109754,Bakery and bread,0
109873,Bakery and bread,0
109971,Bakery and bread,0
109998,Bakery and bread,0
110008,Bakery and bread,0
110113,Bakery and bread,0
110131,Bakery and bread,0
110153,Bakery and bread,0
110168,Bakery and bread,0
110172,Bakery and bread,0
110242,Bakery and bread,0
110341,Misc,0
110389,Bakery and bread,0
110464,Bakery and bread,0
110497,Bakery and bread,0
110504,Bakery and bread,0
110505,Bakery and bread,0
110506,Bakery and bread,0
110557,Bakery and bread,0
110654,Bakery and bread,0
110837,Bakery and bread,0
111025,Bakery and bread,0
111028,Bakery and bread,0
111044,Bakery and bread,0
111196,Bakery and bread,0
111411,Bakery and bread,0
111485,Bakery and bread,0
111497,Bakery and bread,0
111553,Bakery and bread,0
111634,Bakery and bread,0
111681,Bakery and bread,0
111787,Bakery and bread,0
111850,Bakery and bread,0
111997,Bakery and bread,0
112213,Bakery and bread,0
112245,Bakery and bread,0
112246,Bakery and bread,0
112307,Bakery and bread,0
112334,Bakery and bread,0
112345,Bakery and bread,0
112473,Bakery and bread,0
112482,Bakery and bread,0
112495,Bakery and bread,0
112555,Bakery and bread,0
112621,Bakery and bread,0
112746,Bakery and bread,0
112765,Bakery and bread,0
112953,Bakery and bread,0
112982,Bakery and bread,0
113027,Bakery and bread,0
113068,Bakery and bread,0
113082,Bakery and bread,0
113135,Bakery and bread,0
113140,Bakery and bread,0
113177,Bakery and bread,0
113235,Bakery and bread,0
113237,Bakery and bread,0
113310,Bakery and bread,0
113312,Bakery and bread,0
113373,Bakery and bread,0
113410,Bakery and bread,0
113469,Bakery and bread,0
113491,Bakery and bread,0
113719,Bakery and bread,0
113789,Bakery and bread,0
113792,Bakery and bread,0
113861,Bakery and bread,0
114168,Bakery and bread,0
114213,Bakery and bread,0
114398,Bakery and bread,0
114399,Bakery and bread,0
114632,Bakery and bread,0
114677,Bakery and bread,0
114707,Bakery and bread,0
114752,Bakery and bread,0
114781,Bakery and bread,0
114841,Bakery and bread,0
114907,Bakery and bread,0
114933,Bakery and bread,0
114986,Bakery and bread,0
115027,Bakery and bread,0
115047,Bakery and bread,0
115057,Bakery and bread,0
115063,Bakery and bread,0
115151,Bakery and bread,0
115174,Bakery and bread,0
115259,Bakery and bread,0
115267,Bakery and bread,0
115276,Bakery and bread,0
115285,Bakery and bread,0
115543,Bakery and bread,0
115746,Bakery and bread,0
115922,Dairy and eggs,0
